dataset,model,hidden_dim,num_layers,dropout,lr,pe_dim,seed,val_acc,test_acc,train_time_s,num_params
cora,gcn,64,2,0.5,0.01,8,42,0.808,0.825,1.3,92231
cora,gcn,64,2,0.5,0.01,8,42,0.81,0.824,3.1,92231
cora,graphsage,64,2,0.5,0.01,8,42,0.79,0.797,10.9,184391
cora,gat,64,2,0.6,0.005,8,42,0.818,0.829,12.0,92373
cora,lspe,64,2,0.5,0.001,8,42,0.65,0.67,3.8,101719
cora,lspe,64,2,0.5,0.001,8,42,0.682,0.702,9.0,101719
cora,lspe,64,2,0.5,0.005,8,42,0.698,0.72,8.8,101719
cora,gcn,64,2,0.5,0.01,8,42,0.81,0.824,3.0,92231
cora,graphsage,64,2,0.5,0.01,8,42,0.79,0.797,9.3,184391
cora,gat,64,2,0.6,0.005,8,42,0.818,0.829,12.1,92373
cora,lspe,64,2,0.5,0.01,8,42,0.742,0.744,7.3,102135
cora,lspe,64,2,0.7,0.01,8,42,0.762,0.781,5.7,102135
cora,lspe,64,2,0.7,0.01,8,random,42,0.74,0.76,6.8,102135
cora,gcn,64,2,0.5,0.01,8,none,42,0.81,0.824,2.5,92231
citeseer,lspe,64,2,0.7,0.01,8,laplacian,42,0.624,0.584,12.1,247350
pubmed,lspe,64,2,0.7,0.01,8,laplacian,42,0.762,0.718,34.4,42163
citeseer,gcn,64,2,0.5,0.01,8,laplacian,42,0.726,0.72,5.9,237446
cora,gcn,64,2,0.5,0.01,8,laplacian,42,0.81,0.824,3.0,92231
cora,graphsage,64,2,0.5,0.01,8,laplacian,42,0.79,0.797,9.9,184391
cora,gat,64,2,0.6,0.005,8,laplacian,42,0.818,0.829,13.8,92373
cora,lspe,64,2,0.7,0.01,8,laplacian,42,0.764,0.784,6.5,102135
citeseer,gcn,64,2,0.5,0.01,8,laplacian,42,0.726,0.72,6.5,237446
citeseer,graphsage,64,2,0.5,0.01,8,laplacian,42,0.712,0.703,28.5,474822
citeseer,gat,64,2,0.6,0.005,8,laplacian,42,0.734,0.717,35.2,237586
citeseer,lspe,256,2,0.7,0.01,8,laplacian,42,0.64,0.616,52.6,1087158
pubmed,gcn,64,2,0.5,0.01,8,laplacian,42,0.806,0.794,15.9,32259
pubmed,graphsage,64,2,0.5,0.01,8,laplacian,42,0.806,0.776,34.0,64451
pubmed,gat,64,2,0.6,0.005,8,laplacian,42,0.804,0.775,42.6,32393
pubmed,lspe,64,2,0.5,0.01,8,laplacian,42,0.73,0.708,50.6,42163
